,,deal_price,deal_time,deal_volume,direction,exchange,instrument,offset,order_id,trade_id
2018-04-17,20,27.644016,2018-04-17,100,,SH,600036,close,order_41089327,deal_84930615
2018-04-17,21,20.059865000000002,2018-04-17,100,,SZ,000623,close,order_64723180,deal_76289015
2018-04-18,0,6.871055999999999,2018-04-18,100,,SH,600018,close,order_24368579,deal_14802657
2018-04-18,1,37.731316,2018-04-18,100,,SH,600588,open,order_41675928,deal_03864219
2018-04-18,2,7.370406,2018-04-18,100,,SH,601390,close,order_48973062,deal_09743526
2018-04-18,3,13.192827,2018-04-18,100,,SH,600188,close,order_14720695,deal_34519028
2018-04-18,4,14.341332,2018-04-18,100,,SH,601997,close,order_31295784,deal_62458971
2018-04-18,5,95.21855700000002,2018-04-18,100,,SH,603160,open,order_84620531,deal_39461025
2018-04-18,6,14.278550000000001,2018-04-18,100,,SZ,300059,close,order_01236495,deal_05317649
2018-04-18,7,3.581073999999999,2018-04-18,100,,SH,601608,open,order_86459071,deal_25647980
2018-04-18,8,22.860242999999997,2018-04-18,100,,SH,600549,close,order_41327908,deal_89573024
2018-04-18,9,10.644010000000002,2018-04-18,100,,SZ,002736,close,order_04615739,deal_10873465
2018-04-18,10,23.954015,2018-04-18,100,,SZ,002468,close,order_96427035,deal_26718059
2018-04-18,11,5.922291000000001,2018-04-18,100,,SH,601212,close,order_47950683,deal_12687539
2018-04-18,12,6.871055999999999,2018-04-18,100,,SH,600886,close,order_18059764,deal_13068745
2018-04-18,13,7.969626000000001,2018-04-18,100,,SH,601009,close,order_35760428,deal_46391580
2018-04-18,14,32.787321000000006,2018-04-18,100,,SH,601155,close,order_25369870,deal_23517608
2018-04-18,15,11.465076000000002,2018-04-18,100,,SH,601111,close,order_19805276,deal_57432096
2018-04-18,16,7.3889,2018-04-18,100,,SZ,000671,close,order_18903265,deal_03598621
2018-04-18,17,107.65827000000002,2018-04-18,100,,SZ,002304,close,order_09427186,deal_25164087
2018-04-19,0,16.805039999999998,2018-04-19,100,,SZ,000738,open,order_65149872,deal_89463502
2018-04-19,1,43.872891,2018-04-19,100,,SH,600535,close,order_67153490,deal_73459186
2018-04-19,2,32.767347,2018-04-19,100,,SH,600585,close,order_92716805,deal_63574981
