,,account_id,available,pre_balance,total_balance
2018-09-07,0,test0_04716358,1810004.942487157,0,1903338.7756447932
2018-09-07,1,test1_12769405,1000.0,0,1000.0
2018-09-10,0,test0_04716358,1813920.6279092128,0,1901584.66294624
2018-09-10,1,test1_12769405,1000.0,0,1000.0
2018-09-11,0,test0_04716358,1830642.9885559825,0,1902377.4640092133
2018-09-11,1,test1_12769405,1000.0,0,1000.0
2018-09-12,0,test0_04716358,1825044.500190264,0,1902107.961158837
2018-09-12,1,test1_12769405,1000.0,0,1000.0
2018-09-13,0,test0_04716358,1816679.156712518,0,1902218.8241062635
2018-09-13,1,test1_12769405,1000.0,0,1000.0
2018-09-14,0,test0_04716358,1814967.5450689343,0,1901369.8415149327
2018-09-14,1,test1_12769405,1000.0,0,1000.0
2018-09-17,0,test0_04716358,1790157.9788875438,0,1900325.9554009433
2018-09-17,1,test1_12769405,1000.0,0,1000.0
2018-09-18,0,test0_04716358,1729859.1923799827,0,1901658.8174704053
2018-09-18,1,test1_12769405,1000.0,0,1000.0
2018-09-19,0,test0_04716358,1590420.1094095279,0,1903962.1281429543
2018-09-19,1,test1_12769405,1000.0,0,1000.0
2018-09-20,0,test0_04716358,1567435.5677017043,0,1903400.0014670384
2018-09-20,1,test1_12769405,1000.0,0,1000.0
2018-09-21,0,test0_04716358,1508946.0453970667,0,1914242.8950673542
2018-09-21,1,test1_12769405,1000.0,0,1000.0
2018-09-25,0,test0_04716358,1429822.2926824687,0,1910648.3738160015
2018-09-25,1,test1_12769405,1000.0,0,1000.0
2018-09-26,0,test0_04716358,1396600.9012543545,0,1918434.1397844993
2018-09-26,1,test1_12769405,1000.0,0,1000.0
2018-09-27,0,test0_04716358,1403108.612196392,0,1915848.3425366883
2018-09-27,1,test1_12769405,1000.0,0,1000.0
2018-09-28,0,test0_04716358,1394722.515698981,0,1920692.0605931487
2018-09-28,1,test1_12769405,1000.0,0,1000.0
2018-10-08,0,test0_04716358,1437903.1494422131,0,1895097.9083375132
2018-10-08,1,test1_12769405,1000.0,0,1000.0
2018-10-09,0,test0_04716358,1541009.4008853838,0,1894687.4431525443
2018-10-09,1,test1_12769405,1000.0,0,1000.0
2018-10-10,0,test0_04716358,1662919.440373061,0,1889095.1667900495
2018-10-10,1,test1_12769405,1000.0,0,1000.0
2018-10-11,0,test0_04716358,1832970.932730077,0,1879680.7634584121
2018-10-11,1,test1_12769405,1000.0,0,1000.0
2018-10-12,0,test0_04716358,1844706.3538583606,0,1880341.374214947
2018-10-12,1,test1_12769405,1000.0,0,1000.0
2018-10-15,0,test0_04716358,1854297.9368955854,0,1879835.5702733926
2018-10-15,1,test1_12769405,1000.0,0,1000.0
2018-10-16,0,test0_04716358,1856759.4919315206,0,1879450.3313807917
2018-10-16,1,test1_12769405,1000.0,0,1000.0
2018-10-17,0,test0_04716358,1862974.954489602,0,1879531.0368177975
2018-10-17,1,test1_12769405,1000.0,0,1000.0
2018-10-18,0,test0_04716358,1856354.7029841633,0,1879287.6007038755
2018-10-18,1,test1_12769405,1000.0,0,1000.0
2018-10-19,0,test0_04716358,1853341.4505778758,0,1879695.3047591972
2018-10-19,1,test1_12769405,1000.0,0,1000.0
2018-10-22,0,test0_04716358,1773746.8389654006,0,1880467.1041587498
2018-10-22,1,test1_12769405,1000.0,0,1000.0
2018-10-23,0,test0_04716358,1703250.8267953321,0,1877094.7605819593
2018-10-23,1,test1_12769405,1000.0,0,1000.0
2018-10-24,0,test0_04716358,1618022.396725341,0,1875833.087973455
2018-10-24,1,test1_12769405,1000.0,0,1000.0
2018-10-25,0,test0_04716358,1557800.1202735885,0,1876431.9937007986
2018-10-25,1,test1_12769405,1000.0,0,1000.0
2018-10-26,0,test0_04716358,1558430.3059095077,0,1873240.0306382629
2018-10-26,1,test1_12769405,1000.0,0,1000.0
2018-10-29,0,test0_04716358,1602249.1094558714,0,1866410.4713215388
2018-10-29,1,test1_12769405,1000.0,0,1000.0
2018-10-30,0,test0_04716358,1660131.6584374693,0,1870022.7911993496
2018-10-30,1,test1_12769405,1000.0,0,1000.0
2018-10-31,0,test0_04716358,1695115.8809283413,0,1871914.9919920405
2018-10-31,1,test1_12769405,1000.0,0,1000.0
2018-11-01,0,test0_04716358,1697494.5058916681,0,1873335.6752930086
2018-11-01,1,test1_12769405,1000.0,0,1000.0
2018-11-02,0,test0_04716358,1668432.6783411626,0,1878093.2711964133
2018-11-02,1,test1_12769405,1000.0,0,1000.0
2018-11-05,0,test0_04716358,1565898.2810393348,0,1875258.0722570196
2018-11-05,1,test1_12769405,1000.0,0,1000.0
2018-11-06,0,test0_04716358,1489902.6535289134,0,1873669.247277366
2018-11-06,1,test1_12769405,1000.0,0,1000.0
2018-11-07,0,test0_04716358,1412287.4426818993,0,1871788.701522226
2018-11-07,1,test1_12769405,1000.0,0,1000.0
2018-11-08,0,test0_04716358,1400205.9151623277,0,1869022.5665417158
2018-11-08,1,test1_12769405,1000.0,0,1000.0
2018-11-09,0,test0_04716358,1439702.4283982348,0,1865558.2792950135
2018-11-09,1,test1_12769405,1000.0,0,1000.0
2018-11-12,0,test0_04716358,1513553.918798709,0,1871061.2189417009
2018-11-12,1,test1_12769405,1000.0,0,1000.0
2018-11-13,0,test0_04716358,1651744.193906358,0,1876059.7541257215
2018-11-13,1,test1_12769405,1000.0,0,1000.0
2018-11-14,0,test0_04716358,1687639.8060681925,0,1874667.424170138
2018-11-14,1,test1_12769405,1000.0,0,1000.0
2018-11-15,0,test0_04716358,1670007.6722308695,0,1877448.360420229
2018-11-15,1,test1_12769405,1000.0,0,1000.0
2018-11-16,0,test0_04716358,1586048.2072461478,0,1879240.9150321141
2018-11-16,1,test1_12769405,1000.0,0,1000.0
2018-11-19,0,test0_04716358,1537253.4600637048,0,1881655.3092455151
2018-11-19,1,test1_12769405,1000.0,0,1000.0
2018-11-20,0,test0_04716358,1550089.1456992081,0,1871891.8401192985
2018-11-20,1,test1_12769405,1000.0,0,1000.0
2018-11-21,0,test0_04716358,1486259.3894489675,0,1873108.240978626
2018-11-21,1,test1_12769405,1000.0,0,1000.0
2018-11-22,0,test0_04716358,1513136.8130712793,0,1872694.7761163798
2018-11-22,1,test1_12769405,1000.0,0,1000.0
2018-11-23,0,test0_04716358,1620947.7618247233,0,1863045.1180233313
2018-11-23,1,test1_12769405,1000.0,0,1000.0
